TeslaModel,HomeChargerAvailable,Segment,ChargingFrequency,LocationPreference,PriceSensitivity,SpeedPreference,ChosenStationPrice,ChosenStationSpeed,ChosenStationLocation,ConjointPrice,ConjointSpeed,ConjointPerks,PlanType,UsageLimit,AdSpend,StationUsage,Revenue,CampaignType,FirstTimeUser,DiscountApplied,UserLocation
Model 3,Yes,Urban Commuter,1,Supercharger - Urban,Low,Fast,0.38,Fast,Destination,0.45,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,2104.15,14,53.2,Discount,Yes,No,Rural
Model 3,No,Urban Commuter,2,Home,High,Fast,0.47,Fast,Destination,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,1232.49,30,141,Loyalty Program,No,No,Highway Region
Model S,Yes,Urban Commuter,3,Supercharger - Urban,Medium,Moderate,0.42,Fast,Urban,0.25,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,2701.1,27,113.4,Discount,Yes,Yes,Suburban
Model 3,No,Long-Distance Traveler,5,Supercharger - Urban,Medium,Moderate,0.25,Fast,Highway,0.45,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,4072.29,21,52.5,Discount,Yes,Yes,Rural
Model Y,No,Long-Distance Traveler,5,Supercharger - Highway,Medium,Moderate,0.35,Fast,Highway,0.25,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,3476.12,20,70,None,Yes,Yes,Highway Region
Model 3,Yes,Urban Commuter,2,Supercharger - Urban,Medium,Moderate,0.46,Fast,Urban,0.25,Fast,None,Unlimited Fast-Charging,Up to 200 kWh,985.07,16,73.6,Discount,No,No,Rural
Model 3,Yes,Urban Commuter,3,Supercharger - Highway,Low,Fast,0.34,Fast,Destination,0.25,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,2694.12,22,74.8,Referral,No,No,Rural
Model X,Yes,Urban Commuter,3,Supercharger - Highway,Low,Moderate,0.26,Fast,Highway,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,3639.41,24,62.4,Loyalty Program,Yes,No,Urban
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Urban,High,Moderate,0.44,Fast,Destination,0.35,Fast,None,Monthly Subscription,Unlimited,2884.53,18,79.2,Discount,No,No,Rural
Model Y,Yes,Long-Distance Traveler,3,Home,Medium,Fast,0.45,Fast,Highway,0.45,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,2262.54,22,99,Loyalty Program,No,No,Highway Region
Model Y,Yes,Urban Commuter,2,Home,Low,Moderate,0.29,Fast,Highway,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,3298.61,25,72.5,Discount,No,No,Urban
Model 3,Yes,Urban Commuter,2,Destination Charger,Low,Moderate,0.38,Fast,Highway,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,4858.87,16,60.8,Loyalty Program,No,No,Highway Region
Model 3,No,Long-Distance Traveler,2,Destination Charger,High,Moderate,0.3,Fast,Highway,0.25,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,927.09,25,75,Loyalty Program,Yes,Yes,Urban
Model 3,No,Urban Commuter,2,Supercharger - Urban,High,Moderate,0.43,Fast,Destination,0.35,Fast,Lounge Access,Monthly Subscription,50 kWh/month,2255.07,13,55.9,Loyalty Program,No,No,Highway Region
Model 3,No,Urban Commuter,5,Home,High,Fast,0.32,Fast,Destination,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,2329.73,20,64,Discount,Yes,Yes,Urban
Model S,Yes,Long-Distance Traveler,2,Supercharger - Highway,Low,Fast,0.33,Fast,Destination,0.35,Fast,None,Pay-Per-Use,Up to 200 kWh,3096.35,28,92.4,Referral,No,No,Urban
Model X,Yes,Urban Commuter,1,Destination Charger,Low,Moderate,0.46,Fast,Destination,0.45,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,1184.79,18,82.8,Loyalty Program,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Moderate,0.37,Fast,Urban,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,1294.89,19,70.3,None,No,No,Highway Region
Model S,No,Urban Commuter,7,Destination Charger,Medium,Fast,0.42,Fast,Highway,0.35,Fast,None,Unlimited Fast-Charging,Unlimited,1784.13,23,96.6,None,Yes,No,Rural
Model 3,Yes,Urban Commuter,1,Supercharger - Urban,High,Moderate,0.35,Fast,Highway,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,4801.42,24,84,None,Yes,Yes,Urban
Model Y,No,Long-Distance Traveler,2,Home,High,Moderate,0.32,Fast,Highway,0.35,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,3803.49,26,83.2,Referral,Yes,Yes,Highway Region
Model 3,Yes,Long-Distance Traveler,3,Destination Charger,High,Moderate,0.41,Fast,Urban,0.45,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,3477.62,18,73.8,Loyalty Program,No,No,Urban
Model S,Yes,Urban Commuter,1,Home,High,Moderate,0.29,Fast,Destination,0.35,Fast,None,Monthly Subscription,Up to 200 kWh,4176.31,21,60.9,Referral,Yes,Yes,Suburban
Model 3,No,Long-Distance Traveler,7,Supercharger - Highway,Low,Moderate,0.34,Fast,Highway,0.35,Fast,None,Unlimited Fast-Charging,50 kWh/month,1074.09,17,57.8,Loyalty Program,No,No,Suburban
Model Y,Yes,Urban Commuter,3,Supercharger - Urban,Medium,Moderate,0.3,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Unlimited,4367,21,63,Referral,Yes,Yes,Suburban
Model 3,No,Urban Commuter,4,Home,High,Moderate,0.42,Fast,Destination,0.45,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,3176.75,28,117.6,Loyalty Program,No,No,Suburban
Model X,No,Long-Distance Traveler,5,Supercharger - Urban,Medium,Moderate,0.49,Fast,Urban,0.45,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,2008.98,25,122.5,None,Yes,No,Rural
Model Y,Yes,Urban Commuter,1,Home,Medium,Moderate,0.5,Fast,Urban,0.35,Fast,Lounge Access,Pay-Per-Use,Unlimited,4171.35,18,90,Loyalty Program,Yes,No,Rural
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,Medium,Fast,0.36,Fast,Destination,0.25,Fast,None,Pay-Per-Use,Up to 200 kWh,4111.54,21,75.6,Referral,No,No,Urban
Model X,Yes,Long-Distance Traveler,2,Supercharger - Highway,High,Fast,0.31,Fast,Highway,0.35,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,4305.69,21,65.1,Loyalty Program,No,No,Highway Region
Model 3,No,Long-Distance Traveler,5,Supercharger - Urban,Low,Fast,0.36,Fast,Highway,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,1019.83,19,68.4,Discount,No,No,Suburban
Model X,Yes,Urban Commuter,2,Supercharger - Highway,High,Moderate,0.46,Fast,Urban,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,4862.13,21,96.6,Loyalty Program,Yes,Yes,Suburban
Model X,Yes,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.3,Fast,Urban,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,4818.32,20,60,None,No,No,Rural
Model 3,Yes,Long-Distance Traveler,2,Home,Medium,Fast,0.49,Fast,Urban,0.35,Fast,None,Monthly Subscription,50 kWh/month,2108.61,18,88.2,Loyalty Program,No,No,Rural
Model S,No,Long-Distance Traveler,5,Supercharger - Highway,Low,Moderate,0.34,Fast,Urban,0.25,Fast,None,Monthly Subscription,50 kWh/month,796.52,20,68,Discount,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,1,Destination Charger,High,Fast,0.5,Fast,Urban,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,1251.75,25,125,Discount,No,No,Highway Region
Model 3,No,Urban Commuter,6,Supercharger - Urban,Medium,Moderate,0.46,Fast,Urban,0.45,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,4967.74,23,105.8,Discount,No,No,Urban
Model S,No,Urban Commuter,6,Destination Charger,Low,Fast,0.45,Fast,Urban,0.35,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,3033.56,16,72,Referral,Yes,Yes,Urban
Model S,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Fast,0.33,Fast,Highway,0.45,Fast,None,Unlimited Fast-Charging,Unlimited,2104.8,23,75.9,Discount,No,No,Urban
Model 3,Yes,Long-Distance Traveler,3,Supercharger - Urban,Low,Fast,0.25,Fast,Urban,0.45,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,1796.91,27,67.5,Referral,No,No,Urban
Model X,No,Long-Distance Traveler,5,Home,Low,Moderate,0.35,Fast,Urban,0.25,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,1656.46,28,98,Discount,Yes,Yes,Highway Region
Model S,Yes,Long-Distance Traveler,2,Home,High,Fast,0.33,Fast,Highway,0.25,Fast,Lounge Access,Monthly Subscription,50 kWh/month,3488.69,29,95.7,Referral,No,No,Highway Region
Model 3,No,Long-Distance Traveler,7,Destination Charger,Medium,Moderate,0.26,Fast,Highway,0.45,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,2387.25,23,59.8,Discount,Yes,No,Highway Region
Model 3,Yes,Long-Distance Traveler,3,Home,High,Moderate,0.38,Fast,Destination,0.25,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,4844.35,20,76,Discount,No,No,Rural
Model X,Yes,Long-Distance Traveler,2,Home,Medium,Moderate,0.35,Fast,Urban,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,3577.29,22,77,Loyalty Program,No,No,Suburban
Model S,No,Long-Distance Traveler,1,Home,High,Moderate,0.41,Fast,Urban,0.35,Fast,Lounge Access,Monthly Subscription,Unlimited,4064.2,21,86.1,Discount,Yes,Yes,Highway Region
Model X,Yes,Urban Commuter,2,Destination Charger,Medium,Moderate,0.41,Fast,Urban,0.25,Fast,None,Monthly Subscription,Unlimited,1817.34,32,131.2,Loyalty Program,Yes,No,Urban
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,High,Moderate,0.28,Fast,Urban,0.45,Fast,None,Pay-Per-Use,50 kWh/month,856.34,21,58.8,Discount,Yes,Yes,Highway Region
Model Y,Yes,Long-Distance Traveler,1,Home,Low,Moderate,0.49,Fast,Destination,0.45,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,2695.2,17,83.3,Discount,No,No,Suburban
Model S,Yes,Long-Distance Traveler,2,Home,Medium,Fast,0.3,Fast,Highway,0.25,Fast,None,Monthly Subscription,Up to 200 kWh,1915.62,16,48,Loyalty Program,No,No,Rural
Model 3,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Fast,0.36,Fast,Highway,0.25,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,1409.37,31,111.6,Loyalty Program,Yes,No,Urban
Model S,Yes,Urban Commuter,3,Supercharger - Highway,Low,Fast,0.37,Fast,Urban,0.35,Fast,None,Pay-Per-Use,50 kWh/month,4786.89,17,62.9,Referral,Yes,Yes,Rural
Model Y,No,Urban Commuter,6,Home,High,Moderate,0.45,Fast,Urban,0.45,Fast,Lounge Access,Monthly Subscription,50 kWh/month,2497.95,26,117,None,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Urban,Medium,Moderate,0.27,Fast,Urban,0.35,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,1286.19,17,45.9,Loyalty Program,Yes,Yes,Urban
Model 3,Yes,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.36,Fast,Destination,0.35,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,1393.93,20,72,Referral,No,No,Urban
Model X,Yes,Urban Commuter,1,Home,High,Moderate,0.41,Fast,Destination,0.35,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,1763.19,18,73.8,Discount,No,No,Highway Region
Model Y,No,Urban Commuter,5,Home,Low,Fast,0.3,Fast,Highway,0.25,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,4996.92,26,78,Loyalty Program,No,No,Highway Region
Model 3,Yes,Urban Commuter,1,Supercharger - Urban,High,Moderate,0.41,Fast,Urban,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,1706.05,19,77.9,Loyalty Program,No,No,Suburban
Model 3,No,Urban Commuter,7,Supercharger - Urban,High,Fast,0.48,Fast,Urban,0.25,Fast,None,Pay-Per-Use,Unlimited,1979.61,14,67.2,Discount,No,No,Highway Region
Model 3,Yes,Long-Distance Traveler,3,Destination Charger,High,Moderate,0.5,Fast,Urban,0.25,Fast,None,Monthly Subscription,Unlimited,3466.98,27,135,Discount,No,No,Highway Region
Model S,Yes,Urban Commuter,2,Destination Charger,Medium,Fast,0.26,Fast,Urban,0.35,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,1822.83,23,59.8,Discount,No,No,Highway Region
Model Y,Yes,Urban Commuter,3,Supercharger - Urban,Low,Moderate,0.31,Fast,Destination,0.35,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,1471.12,21,65.1,Discount,No,No,Urban
Model Y,Yes,Long-Distance Traveler,3,Destination Charger,Low,Fast,0.33,Fast,Highway,0.45,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,1213.87,19,62.7,None,Yes,No,Suburban
Model X,Yes,Urban Commuter,3,Supercharger - Urban,High,Moderate,0.35,Fast,Highway,0.35,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,1907.07,26,91,Loyalty Program,Yes,No,Urban
Model 3,Yes,Urban Commuter,1,Home,Medium,Fast,0.31,Fast,Destination,0.45,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,976.62,13,40.3,Discount,Yes,Yes,Highway Region
Model 3,No,Urban Commuter,2,Supercharger - Urban,High,Moderate,0.3,Fast,Urban,0.35,Fast,None,Unlimited Fast-Charging,50 kWh/month,583.91,14,42,Discount,No,No,Suburban
Model X,Yes,Long-Distance Traveler,2,Supercharger - Urban,Medium,Fast,0.49,Fast,Highway,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,4120.89,22,107.8,None,No,No,Highway Region
Model Y,Yes,Urban Commuter,1,Supercharger - Highway,Medium,Fast,0.48,Fast,Highway,0.35,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,1120.53,17,81.6,Loyalty Program,No,No,Urban
Model Y,Yes,Long-Distance Traveler,3,Supercharger - Urban,Medium,Moderate,0.26,Fast,Destination,0.35,Fast,Lounge Access,Monthly Subscription,Unlimited,3991.9,23,59.8,Referral,No,No,Urban
Model Y,No,Long-Distance Traveler,7,Supercharger - Urban,Medium,Fast,0.33,Fast,Urban,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,4088.94,19,62.7,Loyalty Program,No,No,Highway Region
Model X,Yes,Urban Commuter,3,Supercharger - Highway,Low,Moderate,0.35,Fast,Highway,0.45,Fast,App Navigation Integration,Monthly Subscription,Unlimited,2920.64,22,77,Referral,Yes,No,Suburban
Model S,Yes,Urban Commuter,1,Destination Charger,Medium,Moderate,0.31,Fast,Urban,0.35,Fast,None,Pay-Per-Use,50 kWh/month,1893.57,13,40.3,None,No,No,Urban
Model S,Yes,Urban Commuter,3,Supercharger - Highway,Medium,Moderate,0.41,Fast,Highway,0.35,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,1152.65,17,69.7,Discount,Yes,Yes,Highway Region
Model Y,No,Urban Commuter,3,Home,High,Fast,0.41,Fast,Destination,0.45,Fast,None,Unlimited Fast-Charging,50 kWh/month,3815.62,32,131.2,None,Yes,No,Rural
Model X,Yes,Long-Distance Traveler,2,Supercharger - Highway,High,Fast,0.46,Fast,Urban,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,3206.24,17,78.2,Loyalty Program,No,No,Highway Region
Model S,Yes,Urban Commuter,1,Home,Low,Moderate,0.44,Fast,Destination,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,3449.54,17,74.8,Discount,No,No,Highway Region
Model S,No,Urban Commuter,1,Destination Charger,High,Moderate,0.39,Fast,Highway,0.25,Fast,Nearby Amenities,Monthly Subscription,Unlimited,539.01,21,81.9,Loyalty Program,No,No,Suburban
Model X,No,Urban Commuter,3,Supercharger - Highway,Medium,Fast,0.41,Fast,Destination,0.45,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,4673.83,19,77.9,Referral,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,2,Supercharger - Highway,High,Fast,0.32,Fast,Destination,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,798.31,20,64,Loyalty Program,No,No,Rural
Model S,No,Urban Commuter,2,Destination Charger,Low,Fast,0.4,Fast,Destination,0.25,Fast,None,Pay-Per-Use,Unlimited,2150.63,20,80,None,No,No,Highway Region
Model 3,Yes,Urban Commuter,1,Home,High,Moderate,0.37,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,2312.2,22,81.4,None,No,No,Rural
Model X,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Moderate,0.28,Fast,Urban,0.35,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,506.1,21,58.8,None,No,No,Urban
Model X,Yes,Long-Distance Traveler,3,Home,Low,Moderate,0.31,Fast,Destination,0.45,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,2736.9,16,49.6,Discount,No,No,Highway Region
Model 3,Yes,Urban Commuter,1,Supercharger - Highway,Low,Moderate,0.32,Fast,Urban,0.45,Fast,None,Unlimited Fast-Charging,Up to 200 kWh,3887.64,31,99.2,Loyalty Program,No,No,Suburban
Model X,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Moderate,0.48,Fast,Highway,0.25,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,4204.71,22,105.6,Discount,No,No,Highway Region
Model 3,No,Urban Commuter,6,Supercharger - Highway,High,Fast,0.31,Fast,Urban,0.25,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,4457.29,26,80.6,Loyalty Program,Yes,No,Rural
Model 3,Yes,Urban Commuter,2,Destination Charger,Medium,Moderate,0.32,Fast,Destination,0.45,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,2694.73,25,80,Referral,No,No,Rural
Model X,Yes,Urban Commuter,1,Destination Charger,High,Fast,0.34,Fast,Destination,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,3337.86,22,74.8,Loyalty Program,No,No,Suburban
Model X,Yes,Long-Distance Traveler,3,Home,High,Fast,0.42,Fast,Destination,0.25,Fast,None,Monthly Subscription,Up to 200 kWh,857.84,16,67.2,Loyalty Program,Yes,Yes,Rural
Model Y,No,Long-Distance Traveler,7,Supercharger - Highway,Medium,Moderate,0.28,Fast,Destination,0.45,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,2696.17,19,53.2,Loyalty Program,No,No,Highway Region
Model X,Yes,Urban Commuter,1,Home,High,Fast,0.49,Fast,Destination,0.45,Fast,App Navigation Integration,Monthly Subscription,Unlimited,1196.67,20,98,Loyalty Program,Yes,Yes,Rural
Model 3,Yes,Urban Commuter,1,Home,High,Moderate,0.47,Fast,Destination,0.35,Fast,None,Unlimited Fast-Charging,Up to 200 kWh,2163.39,25,117.5,Referral,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,3,Supercharger - Urban,High,Fast,0.39,Fast,Highway,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,1981.87,11,42.9,Discount,Yes,Yes,Highway Region
Model 3,Yes,Urban Commuter,2,Supercharger - Urban,Low,Moderate,0.42,Fast,Highway,0.25,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,2405.93,17,71.4,None,No,No,Rural
Model 3,No,Urban Commuter,5,Destination Charger,Medium,Moderate,0.25,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,3072.36,26,65,Loyalty Program,No,No,Suburban
Model 3,No,Urban Commuter,2,Home,Low,Fast,0.33,Fast,Urban,0.25,Fast,Nearby Amenities,Monthly Subscription,Unlimited,4562.94,26,85.8,None,No,No,Urban
Model Y,Yes,Urban Commuter,2,Destination Charger,Medium,Moderate,0.45,Fast,Urban,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,2275.18,25,112.5,None,No,No,Suburban
Model 3,No,Urban Commuter,5,Supercharger - Highway,Medium,Fast,0.27,Fast,Highway,0.25,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,4915.09,15,40.5,None,No,No,Urban
Model Y,Yes,Long-Distance Traveler,3,Home,High,Moderate,0.32,Fast,Urban,0.45,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,3915.63,20,64,None,Yes,Yes,Suburban
Model X,No,Urban Commuter,4,Home,Medium,Moderate,0.4,Fast,Urban,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,2801.66,20,80,Loyalty Program,Yes,Yes,Highway Region
Model Y,Yes,Urban Commuter,1,Supercharger - Highway,Low,Moderate,0.31,Fast,Destination,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,3398.12,18,55.8,None,No,No,Highway Region
Model 3,Yes,Urban Commuter,3,Supercharger - Highway,Low,Fast,0.48,Fast,Destination,0.35,Fast,None,Monthly Subscription,Unlimited,960.01,14,67.2,Loyalty Program,No,No,Rural
Model 3,Yes,Long-Distance Traveler,3,Destination Charger,Low,Fast,0.28,Fast,Urban,0.45,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,4300.35,19,53.2,Referral,Yes,No,Urban
Model 3,Yes,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.45,Fast,Urban,0.35,Fast,Nearby Amenities,Monthly Subscription,Unlimited,3120.61,19,85.5,Discount,Yes,Yes,Urban
Model S,Yes,Long-Distance Traveler,1,Supercharger - Highway,Low,Fast,0.38,Fast,Highway,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,4937.3,26,98.8,Discount,Yes,Yes,Rural
Model X,Yes,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.44,Fast,Urban,0.45,Fast,None,Monthly Subscription,Up to 200 kWh,3363.93,20,88,Loyalty Program,No,No,Suburban
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,Low,Fast,0.33,Fast,Destination,0.35,Fast,None,Monthly Subscription,50 kWh/month,4253.5,26,85.8,Loyalty Program,Yes,No,Rural
Model S,No,Long-Distance Traveler,4,Home,Low,Fast,0.38,Fast,Urban,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,4098.93,23,87.4,Discount,Yes,Yes,Suburban
Model X,Yes,Urban Commuter,3,Home,Medium,Moderate,0.46,Fast,Highway,0.35,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,2054.58,19,87.4,None,No,No,Rural
Model S,Yes,Urban Commuter,3,Supercharger - Urban,Low,Moderate,0.37,Fast,Destination,0.25,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,1668.25,19,70.3,Loyalty Program,No,No,Urban
Model Y,No,Long-Distance Traveler,3,Home,High,Moderate,0.34,Fast,Destination,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,2437.22,18,61.2,None,No,No,Urban
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Highway,Medium,Moderate,0.38,Fast,Destination,0.35,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,2602.59,13,49.4,Loyalty Program,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.43,Fast,Destination,0.35,Fast,None,Unlimited Fast-Charging,Up to 200 kWh,1580.38,19,81.7,Loyalty Program,No,No,Urban
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Urban,Medium,Fast,0.36,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,4525.69,22,79.2,Referral,No,No,Urban
Model S,No,Long-Distance Traveler,1,Destination Charger,High,Fast,0.48,Fast,Highway,0.35,Fast,None,Unlimited Fast-Charging,Unlimited,2941.47,19,91.2,Referral,No,No,Urban
Model Y,Yes,Urban Commuter,1,Supercharger - Highway,Medium,Moderate,0.32,Fast,Urban,0.25,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,4903,16,51.2,Discount,Yes,Yes,Urban
Model 3,Yes,Long-Distance Traveler,1,Home,Low,Moderate,0.37,Fast,Urban,0.45,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,4145.08,21,77.7,Referral,No,No,Highway Region
Model Y,No,Long-Distance Traveler,1,Supercharger - Urban,Low,Moderate,0.44,Fast,Destination,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,3000.67,25,110,Referral,No,No,Rural
Model Y,No,Long-Distance Traveler,3,Supercharger - Highway,Low,Fast,0.42,Fast,Highway,0.25,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,4761.68,22,92.4,Discount,Yes,Yes,Rural
Model Y,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Moderate,0.47,Fast,Destination,0.45,Fast,App Navigation Integration,Monthly Subscription,Unlimited,2771.94,20,94,None,No,No,Highway Region
Model 3,Yes,Long-Distance Traveler,3,Supercharger - Urban,Low,Moderate,0.5,Fast,Urban,0.25,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,4491.98,25,125,Referral,Yes,Yes,Urban
Model 3,Yes,Urban Commuter,3,Home,Medium,Fast,0.36,Fast,Urban,0.45,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,2111.65,20,72,None,No,No,Rural
Model Y,No,Long-Distance Traveler,2,Supercharger - Highway,Low,Fast,0.28,Fast,Destination,0.35,Fast,App Navigation Integration,Monthly Subscription,Unlimited,2203.89,23,64.4,Discount,No,No,Rural
Model 3,Yes,Long-Distance Traveler,3,Destination Charger,High,Fast,0.26,Fast,Urban,0.35,Fast,None,Monthly Subscription,Unlimited,2381.59,17,44.2,Loyalty Program,Yes,No,Rural
Model S,Yes,Urban Commuter,1,Supercharger - Urban,High,Fast,0.43,Fast,Urban,0.35,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,2959.82,22,94.6,None,No,No,Suburban
Model 3,No,Long-Distance Traveler,1,Supercharger - Urban,High,Moderate,0.47,Fast,Destination,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,2990.71,22,103.4,Discount,No,No,Highway Region
Model Y,Yes,Urban Commuter,1,Destination Charger,High,Fast,0.31,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,2733.8,19,58.9,None,No,No,Suburban
Model X,Yes,Urban Commuter,3,Supercharger - Highway,Medium,Fast,0.29,Fast,Highway,0.45,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,1877,18,52.2,Discount,No,No,Suburban
Model 3,Yes,Urban Commuter,3,Supercharger - Urban,Low,Moderate,0.27,Fast,Destination,0.45,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,4672.43,22,59.4,Discount,Yes,Yes,Highway Region
Model S,Yes,Long-Distance Traveler,1,Supercharger - Urban,High,Moderate,0.46,Fast,Highway,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,3148.64,33,151.8,Loyalty Program,No,No,Rural
Model X,Yes,Long-Distance Traveler,1,Supercharger - Urban,Medium,Moderate,0.33,Fast,Urban,0.25,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,2334.83,18,59.4,None,No,No,Suburban
